Time (sec),AF Correction 1 (%),AF Correction 3 (%),AF Learning 1 (%),AF Learning 3 (%),AF Sens 1 Ratio (AFR),AVCS Exh Left (°),AVCS In Left (°),Accel Position (%),Baro Pressure (psi),Battery Volts (V),Boost (psi),CL Fuel Target (AFR),Calculated Load (g/rev),Comm Fuel Final (AFR),Coolant Temp (F),Dyn Adv Mult (DAM),Feedback Knock (°),Fine Knock Learn (°),Gear Position (gear),Ignition Timing (°),Inj Duty Cycle (%),Intake Temp (F),MAF Volts (V),Man Abs Press (psi),RPM (RPM),Req Torque (Nm),TD Boost Error (psi),TD Integral (%),TD Proportional (%),TGV Map Ratio (mult),Throttle Pos (%),Vehicle Speed (mph),Wastegate Duty (%),"AP Info:[AP3-SUB-004 v1.7.4.2-23702][2021 USDM WRX STI COBB Custom Features][Reflash: Stage1+SF 93 v400 Boost Select.ptm - Realtime: Stage1+SF 93 v400 Boost Select.ptm]"
0.000,0.00,0.00,0.00,0.00,14.24,0,0,0.0,14.21,14.24,-9.35,14.57,0.27,14.56,185,1.000,0.00,0.00,0,13.00,1.26,77,1.24,4.93,740,0.00,4.86,0.00,0.00,0.000,2.7,0,0.00,0
0.116,0.00,0.08,0.00,0.00,14.24,0,0,0.0,14.21,14.24,-9.32,14.55,0.27,14.56,185,1.000,0.00,0.00,0,12.50,1.27,77,1.22,4.91,742,0.00,4.83,0.00,0.00,0.000,2.7,0,0.00,0
0.264,-0.78,0.08,0.00,0.00,14.24,0,0,0.0,14.21,14.32,-9.31,14.56,0.27,14.56,185,1.000,0.00,0.00,0,13.50,1.25,77,1.22,4.95,734,0.00,4.86,0.00,0.00,0.000,2.7,0,0.00,0
0.428,-0.78,0.08,0.00,0.00,14.24,0,0,0.0,14.21,14.32,-9.30,14.55,0.27,14.56,185,1.000,0.00,0.00,0,13.50,1.25,77,1.24,4.97,734,0.00,4.86,0.00,0.00,0.000,2.7,0,0.00,0
0.554,-0.78,0.08,0.00,0.00,14.24,0,0,0.0,14.21,14.24,-9.29,14.56,0.27,14.56,185,1.000,0.00,0.00,0,13.50,1.26,77,1.20,4.97,738,0.00,4.85,0.00,0.00,0.000,2.7,0,0.00,0
0.714,-1.56,0.08,0.00,0.00,14.24,0,0,0.0,14.21,14.32,-9.30,14.56,0.27,14.56,185,1.000,0.00,0.00,0,13.50,1.25,77,1.22,4.99,732,0.00,4.83,0.00,0.00,0.000,2.7,0,0.00,0
0.850,-1.56,0.08,0.00,0.00,14.24,0,0,0.0,14.21,14.24,-9.30,14.55,0.27,14.56,183,1.000,0.00,0.00,0,13.50,1.24,77,1.22,4.97,727,0.00,4.83,0.00,0.00,0.000,2.7,0,0.00,0
1.004,-1.56,0.08,0.00,0.00,14.24,0,0,0.0,14.21,14.32,-9.31,14.56,0.27,14.56,185,1.000,0.00,0.00,0,14.00,1.23,77,1.20,4.99,720,0.00,4.82,0.00,0.00,0.000,2.7,0,0.00,0
1.157,-1.56,0.00,0.00,0.00,14.36,0,0,0.0,14.21,14.24,-9.32,14.56,0.27,14.56,183,1.000,0.00,0.00,0,14.00,1.24,77,1.22,4.97,726,0.00,4.83,0.00,0.00,0.000,2.7,0,0.00,0
1.307,-1.56,0.08,0.00,0.00,14.36,0,0,0.0,14.21,14.24,-9.31,14.56,0.27,14.56,183,1.000,0.00,0.00,0,15.50,1.21,77,1.20,4.95,706,0.00,4.81,0.00,0.00,0.000,2.7,0,0.00,0
1.444,-1.56,0.08,0.00,0.00,14.47,0,0,0.0,14.21,14.32,-9.29,14.56,0.27,14.56,183,1.000,0.00,0.00,0,14.50,1.20,77,1.22,4.97,702,0.00,4.82,0.00,0.00,0.000,2.7,0,0.00,0
1.589,-1.56,0.00,0.00,0.00,14.47,0,0,0.0,14.21,14.32,-9.24,14.56,0.27,14.56,183,1.000,0.00,0.00,0,14.00,1.21,77,1.20,5.03,712,0.00,4.76,0.00,0.00,0.000,2.4,0,0.00,0
1.739,-1.56,0.08,0.00,0.00,14.47,0,0,0.0,14.21,14.24,-9.24,14.56,0.27,14.56,183,1.000,0.00,0.00,0,14.50,1.22,77,1.22,5.01,714,0.00,4.77,0.00,0.00,0.000,2.4,0,0.00,0
1.894,-2.34,0.00,0.00,0.00,14.47,0,0,0.0,14.21,14.32,-9.30,14.56,0.27,14.56,183,1.000,0.00,0.00,0,15.00,1.21,77,1.18,4.99,712,0.00,4.82,0.00,0.00,0.000,2.4,0,0.00,0
2.034,-2.34,0.00,0.00,0.00,14.47,0,0,0.0,14.21,14.32,-9.30,14.57,0.27,14.56,183,1.000,0.00,0.00,0,15.00,1.21,77,1.22,5.01,708,0.00,4.82,0.00,0.00,0.000,2.4,0,0.00,0
2.187,-2.34,0.00,0.00,0.00,14.47,0,0,0.0,14.21,14.32,-9.31,14.56,0.27,14.56,183,1.000,0.00,0.00,0,14.50,1.20,77,1.20,4.97,704,0.00,4.83,0.00,0.00,0.000,2.4,0,0.00,0
2.329,-2.34,0.08,0.00,0.00,14.47,0,0,0.0,14.21,14.32,-9.31,14.56,0.27,14.56,183,1.000,0.00,0.00,0,14.50,1.21,77,1.22,4.97,711,0.00,4.80,0.00,0.00,0.000,2.4,0,0.00,0
2.484,-2.34,0.08,0.00,0.00,14.47,0,0,0.0,14.21,14.24,-9.29,14.56,0.27,14.56,183,1.000,0.00,0.00,0,16.00,1.21,77,1.20,4.97,708,0.00,4.81,0.00,0.00,0.000,2.4,0,0.00,0
