Time (sec),AF Correction 1 (%),AF Correction 3 (%),AF Learning 1 (%),AF Learning 3 (%),AF Sens 1 Ratio (AFR),AVCS Exh Left (°),AVCS In Left (°),Accel Position (%),Baro Pressure (psi),Battery Volts (V),Boost (psi),CL Fuel Target (AFR),Calculated Load (g/rev),Comm Fuel Final (AFR),Coolant Temp (F),Dyn Adv Mult (DAM),Feedback Knock (°),Fine Knock Learn (°),Gear Position (gear),Ignition Timing (°),Inj Duty Cycle (%),Intake Temp (F),MAF Volts (V),Man Abs Press (psi),RPM (RPM),Req Torque (Nm),TD Boost Error (psi),TD Integral (%),TD Proportional (%),TGV Map Ratio (mult),Throttle Pos (%),Vehicle Speed (mph),Wastegate Duty (%),"AP Info:[AP3-SUB-004 v1.7.4.2-23702][2021 USDM WRX STI COBB Custom Features Gen3][Reflash: LucasW_21STI_STG1e_COBBSF_93oct.ptm - Realtime: LucasW_21STI_STG1e_COBBSF_93oct.ptm]"
0.000,0.00,-0.31,0.78,0.00,14.59,0,0,0.0,14.21,14.16,-9.47,14.61,0.27,14.56,190,1.000,0.00,0.00,0,15.00,1.28,140,1.20,4.80,751,0.00,9.62,0.00,0.00,0.000,3.5,0,0.00,0
0.008,0.00,-0.23,0.78,0.00,14.59,0,0,0.0,14.21,14.16,-9.46,14.61,0.27,14.56,190,1.000,0.00,0.00,0,16.00,1.26,140,1.22,4.78,740,0.00,9.62,0.00,0.00,0.000,3.5,0,0.00,0
0.096,0.00,-0.23,0.78,0.00,14.59,0,0,0.0,14.21,14.16,-9.49,14.60,0.27,14.56,190,1.000,0.00,0.00,0,14.50,1.29,140,1.22,4.78,756,0.00,9.63,0.00,0.00,0.000,3.5,0,0.00,0
0.196,-0.78,-0.23,0.78,0.00,14.59,0,0,0.0,14.21,14.16,-9.47,14.60,0.27,14.56,190,1.000,0.00,0.00,0,14.50,1.29,140,1.20,4.80,758,0.00,9.61,0.00,0.00,0.000,3.5,0,0.00,0
0.341,-0.78,-0.08,0.78,0.00,14.59,0,0,0.0,14.21,14.16,-9.46,14.60,0.27,14.56,190,1.000,0.00,0.00,0,15.00,1.28,140,1.20,4.78,752,0.00,9.62,0.00,0.00,0.000,3.5,0,0.00,0
0.413,-0.78,-0.08,0.78,0.00,14.59,0,0,0.0,14.21,14.08,-9.49,14.58,0.27,14.56,190,1.000,0.00,0.00,0,15.00,1.28,140,1.20,4.80,753,0.00,9.61,0.00,0.00,0.000,3.5,0,0.00,0
0.509,-0.78,-0.23,0.78,0.00,14.59,0,0,0.0,14.21,14.16,-9.48,14.59,0.27,14.56,190,1.000,0.00,0.00,0,14.50,1.30,140,1.22,4.78,763,0.00,9.62,0.00,0.00,0.000,3.5,0,0.00,0
0.610,-0.78,-0.23,0.78,0.00,14.59,0,0,0.0,14.21,14.16,-9.49,14.60,0.27,14.56,190,1.000,0.00,0.00,0,15.00,1.29,140,1.20,4.78,754,0.00,9.63,0.00,0.00,0.000,3.5,0,0.00,0
0.703,-0.78,-0.23,0.78,0.00,14.59,0,0,0.0,14.21,14.16,-9.50,14.60,0.27,14.56,190,1.000,0.00,0.00,0,15.00,1.29,140,1.22,4.78,754,0.00,9.63,0.00,0.00,0.000,3.5,0,0.00,0
0.799,-0.78,-0.23,0.78,0.00,14.47,0,0,0.0,14.21,14.08,-9.48,14.60,0.27,14.56,190,1.000,0.00,0.00,0,15.00,1.28,140,1.20,4.78,750,0.00,9.63,0.00,0.00,0.000,3.5,0,0.00,0
